,ID,direct_trip,number_of_adults,number_of_children,type_of_meal_plan,people_with_disabilities,class,year,month,date,repeated_guest,np_cancellations,np_not_canceled,price,status
0,DZ00001,No,2,1,plan 1,0,Type 1,2022,10,2,No,0,0,670.0,Not_Canceled
1,DZ00002,No,2,1,not selected,0,Type 1,2023,11,6,No,0,0,1086.8000000000002,Not_Canceled
2,DZ00003,No,1,1,plan 1,0,Type 1,2023,2,28,No,0,0,620.0,Canceled
3,DZ00004,Yes,2,2,plan 1,0,Type 1,2023,5,20,No,0,0,1020.0,Canceled
5,DZ00006,Yes,2,0,plan 2,0,Type 1,2023,9,13,No,0,0,1170.0,Canceled
6,DZ00007,Yes,2,1,plan 1,0,Type 1,2022,10,15,No,0,0,1095.5,Not_Canceled
7,DZ00008,No,2,1,plan 1,0,Type 4,2023,12,26,No,0,0,1076.1,Not_Canceled
8,DZ00009,Yes,3,1,plan 1,0,Type 1,2023,7,6,No,0,0,989.0,Not_Canceled
9,DZ00010,Yes,2,0,plan 1,0,Type 4,2023,10,18,No,0,0,1354.4,Not_Canceled
10,DZ00011,Yes,1,1,not selected,0,Type 1,2023,9,11,No,0,0,870.3,Not_Canceled
11,DZ00012,Yes,1,1,plan 1,0,Type 4,2023,4,30,No,0,0,1424.0,Not_Canceled
12,DZ00013,Yes,2,0,not selected,0,Type 1,2023,11,26,No,0,0,900.0,Canceled
14,DZ00015,No,2,1,plan 1,0,Type 1,2022,10,20,No,0,0,965.0,Not_Canceled
15,DZ00016,No,2,1,plan 2,0,Type 1,2023,6,15,No,0,0,1170.0,Canceled
16,DZ00017,Yes,1,2,plan 1,0,Type 1,2022,10,5,No,0,0,980.0,Not_Canceled
17,DZ00018,No,2,0,not selected,0,Type 1,2022,8,10,No,0,0,980.0,Not_Canceled
18,DZ00019,Yes,2,0,plan 1,0,Type 1,2022,10,30,No,0,0,670.0,Canceled
19,DZ00020,Yes,2,2,plan 1,0,Type 1,2022,10,4,No,0,0,740.0,Not_Canceled
20,DZ00021,Yes,2,2,plan 1,0,Type 1,2022,10,30,No,0,0,670.0,Canceled
21,DZ00022,No,1,1,plan 1,0,Type 1,2023,11,25,No,0,0,690.0,Not_Canceled
22,DZ00023,No,2,2,plan 1,0,Type 1,2023,3,20,No,0,0,870.0,Not_Canceled
23,DZ00024,No,2,2,plan 1,0,Type 1,2023,10,13,No,0,0,1070.0,Not_Canceled
24,DZ00025,No,2,1,not selected,0,Type 1,2023,5,22,No,0,0,965.0,Not_Canceled
25,DZ00026,No,2,2,plan 1,0,Type 1,2023,4,28,No,0,0,1163.0,Not_Canceled
26,DZ00027,No,2,0,plan 1,0,Type 1,2022,9,21,No,0,0,670.0,Not_Canceled
27,DZ00028,No,1,0,plan 1,0,Type 4,2023,5,19,No,0,0,1120.0,Canceled
28,DZ00029,Yes,1,0,plan 1,0,Type 1,2022,11,6,No,0,0,393.3,Canceled
29,DZ00030,No,2,2,plan 2,0,Type 1,2022,9,17,No,0,0,840.0,Not_Canceled
30,DZ00031,No,2,1,plan 1,0,Type 4,2022,9,19,No,0,0,1795.0,Not_Canceled
